daya_listrik,kulkas_inverter,kulkas_num,kulkas_power,kulkas_consume_hour,ac_inverter,ac_num,ac_consume_hour,ac_power,lamp_type,lamp_num,lamp_consume_hour,lamp_power,co2_per_month,kwh_per_month,price_per_month
450,belum,19,1,22,belum,20,1,1,neon,39,10,1,464.02,24.84,10308.6
6600,belum,7,140,4,sudah,5,12,220,neon,35,13,37,6009.11,1018.65,1730686.3499999999
2200,belum,3,350,13,sudah,19,9,80,pijar,20,7,18,15211.25,895.5,1293102.0
2200,belum,2,180,22,sudah,20,15,230,neon,30,20,25,27440.2,2757.6,3981974.4
5500,belum,18,170,0,belum,19,13,330,neon,16,24,50,4679.33,3021.3,5133188.7
6600,sudah,8,280,21,belum,8,15,120,pijar,18,0,83,2521.36,1843.2,3131596.8000000003
6600,sudah,0,330,20,belum,10,20,30,neon,1,17,4,1882.91,182.04,309285.95999999996
1300,sudah,11,90,14,sudah,19,6,150,led,11,1,66,10281.58,950.58,1372637.52
5500,sudah,12,240,18,sudah,18,2,220,led,20,7,15,4530.46,1855.8,3153004.1999999997
1300,sudah,16,210,8,sudah,7,1,120,led,21,21,51,1880.38,1506.33,2175140.52
3500,sudah,14,150,21,sudah,4,11,100,pijar,28,3,55,5131.84,1593.6,2707526.4
3500,sudah,18,130,23,sudah,11,0,350,led,12,0,62,1358.21,1614.6,2743205.4
3500,belum,2,140,0,belum,10,22,360,led,30,22,6,3992.19,2494.8,4238665.2
2200,belum,17,220,6,sudah,10,2,360,led,9,8,40,2468.66,975.6,1408766.4000000001
900,sudah,10,330,14,belum,3,12,260,pijar,10,21,64,2341.23,2070.0,2798640.0
1300,belum,7,350,9,belum,7,3,30,led,27,24,37,1422.38,1399.68,2021137.9200000002
900,sudah,12,330,10,belum,16,21,40,neon,32,24,8,4674.39,1775.52,2400503.04
450,sudah,4,160,24,sudah,2,17,350,led,1,11,35,3506.86,829.35,344180.25
1300,belum,17,80,6,belum,17,21,190,neon,2,7,34,4919.44,2293.98,3312507.12
450,belum,1,60,1,sudah,8,6,280,led,4,8,25,4342.68,429.0,178035.0
2200,belum,0,30,7,sudah,14,22,320,pijar,3,18,57,28151.91,3049.14,4402958.16
450,belum,13,100,8,belum,12,4,130,pijar,1,5,59,846.6,508.05,210840.75
900,sudah,6,200,17,sudah,10,22,360,pijar,36,10,50,21764.95,3528.0,4769856.0
6600,belum,16,160,0,sudah,19,21,30,pijar,8,23,96,34276.07,889.02,1510444.98
