id_user,daya_listrik,kulkas_inverter,kulkas_num,kulkas_power,ac_inverter,ac_num,ac_consume_hour,ac_power,lamp_type,lamp_num,lamp_consume_hour,lamp_power,others_power_total,co2_produce_electric_per_month,biaya_per_month,watt_per_month
1,450,belum,19,1,belum,20,1,1,neon,39,10,1,254,1.01,283.445,0.683
2,2200,belum,7,300,belum,10,15,30,led,12,20,29,738,13.11,20656.3206,14.298
3,3500,belum,18,50,sudah,12,9,150,pijar,25,4,99,846,23.91,47325.11238,27.846
4,900,belum,19,360,sudah,16,11,0,led,21,14,42,194,17.36,26204.464,19.382
5,6600,belum,19,180,belum,1,0,240,neon,32,22,15,70,11.94,23878.3965,14.05
6,450,belum,2,190,sudah,4,7,400,pijar,20,10,77,170,22.84,11267.25,27.15
7,6600,belum,18,80,belum,0,24,190,neon,16,23,2,593,2.53,4705.99857,2.769
8,2200,sudah,15,240,sudah,11,15,300,neon,36,17,79,657,85.31,147511.0935,102.105
9,5500,belum,9,360,belum,19,19,90,led,8,10,16,688,34.10,64068.88194,37.698
10,2200,belum,16,360,sudah,4,6,240,neon,18,20,2,677,11.02,18661.1899,12.917
11,3500,sudah,16,340,belum,12,21,390,pijar,20,24,87,802,123.08,248610.6475,146.282
12,3500,belum,5,270,sudah,7,14,370,pijar,11,2,59,54,32.74,66217.08786,38.962
13,3500,sudah,4,120,sudah,13,19,20,neon,22,10,79,384,20.96,39401.90352,23.184
14,2200,belum,16,0,belum,17,21,120,pijar,1,10,85,284,39.26,63529.2378,43.974
15,2200,belum,7,200,belum,2,6,340,neon,32,16,77,404,37.52,65456.4676,45.308
16,3500,sudah,14,250,belum,3,3,300,neon,12,16,31,559,10.66,21602.72583,12.711
17,6600,belum,10,180,belum,7,16,70,led,32,13,85,804,38.67,77845.27212,45.804
18,3500,belum,18,260,belum,9,7,200,pijar,29,24,17,543,26.21,50399.56215,29.655
19,2200,sudah,11,230,sudah,2,5,350,led,13,16,14,939,8.28,14275.0807,9.881
20,5500,sudah,4,270,sudah,16,8,170,neon,36,9,82,609,42.13,85005.39201,50.017
21,450,sudah,19,120,belum,20,22,390,led,38,7,63,720,160.88,79413.57,191.358
22,6600,sudah,13,300,sudah,9,2,160,pijar,38,8,46,178,17.92,35591.55726,20.942
23,5500,belum,4,270,sudah,1,13,40,pijar,34,23,13,378,11.48,20639.09232,12.144
24,3500,belum,3,200,sudah,18,3,50,led,3,12,51,60,4.68,8830.75788,5.196
25,450,belum,0,90,sudah,13,7,80,led,1,7,84,857,7.83,3620.875,8.725
26,450,belum,1,140,sudah,15,12,320,led,3,13,47,198,50.36,24804.965,59.771
27,6600,sudah,15,30,sudah,19,11,290,pijar,2,14,76,487,53.90,108217.5728,63.675
28,450,belum,15,20,sudah,14,19,50,neon,0,10,11,839,13.89,5992.185,14.439
29,3500,belum,9,100,belum,20,5,170,neon,6,12,51,794,19.29,38011.68798,22.366
30,900,sudah,9,70,belum,18,7,320,pijar,27,14,25,598,43.64,68949.296,50.998
31,900,belum,4,360,belum,8,2,30,neon,39,21,17,611,14.02,22245.808,16.454
32,1300,sudah,4,210,belum,12,2,200,neon,22,5,53,219,9.86,16887.0983,11.689
33,5500,belum,15,340,belum,3,12,210,pijar,15,21,60,734,27.44,54884.62182,32.294
34,1300,belum,12,150,sudah,13,6,150,pijar,26,10,89,628,31.67,53841.0796,37.268
35,5500,belum,19,230,sudah,16,21,140,neon,21,6,50,721,50.57,99305.23743,58.431
36,900,sudah,1,150,sudah,15,24,60,pijar,30,24,4,486,24.56,33956.832,25.116
37,1300,belum,20,80,sudah,5,21,250,led,19,23,49,265,41.59,71553.1016,49.528
38,1300,belum,2,230,sudah,1,2,340,led,9,5,90,164,4.42,7734.9238,5.354
39,450,sudah,13,170,sudah,7,1,390,pijar,14,1,70,482,5.40,2656.83,6.402
40,1300,sudah,1,50,belum,4,4,250,pijar,37,9,48,509,17.59,29678.4721,20.543
41,3500,belum,1,190,belum,14,1,190,pijar,0,6,58,35,2.49,4903.14405,2.885
42,3500,belum,0,0,sudah,19,9,280,led,33,10,50,126,54.23,109629.8822,64.506
43,2200,sudah,17,300,belum,10,18,150,led,30,16,35,96,41.92,70784.5212,48.996
44,2200,sudah,18,350,belum,13,21,300,led,31,4,37,1,78.57,134052.2683,92.789
45,1300,sudah,18,0,belum,3,21,190,pijar,0,13,75,664,11.00,18252.3398,12.634
46,450,belum,3,90,belum,4,18,280,pijar,17,7,37,19,21.23,10313.58,24.852
47,3500,sudah,2,200,belum,3,18,60,pijar,2,5,9,670,4.10,7477.932,4.4
48,1300,belum,15,350,belum,1,12,20,led,0,9,30,579,5.16,8767.8843,6.069
49,5500,sudah,14,330,sudah,20,13,300,neon,18,18,36,95,79.54,160399.9419,94.379
50,5500,belum,5,360,sudah,11,5,140,neon,39,16,53,619,36.13,73404.40023,43.191
51,6600,belum,16,40,belum,6,21,330,pijar,18,5,88,902,43.19,86747.41026,51.042
52,5500,belum,20,80,sudah,16,13,150,neon,3,19,18,470,29.80,58287.08088,34.296
53,6600,sudah,12,50,belum,2,5,70,neon,20,1,39,28,1.89,3582.60924,2.108
54,900,belum,10,320,sudah,3,19,230,neon,5,3,78,563,15.28,24394.136,18.043
55,450,belum,7,40,belum,5,9,170,pijar,40,8,22,963,14.07,6612.195,15.933
56,1300,sudah,17,300,belum,19,15,360,pijar,0,9,26,731,91.47,156650.2657,108.431
57,6600,sudah,17,10,belum,19,2,350,led,15,13,84,29,24.96,50780.25687,29.879
58,3500,sudah,4,70,sudah,14,0,50,pijar,35,21,31,78,20.32,39332.22279,23.143
59,6600,sudah,9,10,belum,0,0,60,neon,1,12,29,535,0.85,1653.64269,0.973
60,2200,belum,13,290,sudah,18,12,390,neon,31,2,71,42,77.51,133568.2938,92.454
61,2200,sudah,7,130,sudah,13,5,210,led,36,13,95,430,49.36,85887.415,59.45
62,3500,sudah,8,40,sudah,5,8,350,pijar,23,20,38,373,27.55,54678.97869,32.173
